"status";"general_jedi_encarregado";"estatura_cm";"massa_em_kilos"
"Apto";"Obi-Wan Kenobi";180,05;84,49
"Apto";"Mace Windu";180,43;83,14
"Apto";"Yoda";181,05;84,01
"Apto";"Yoda";180,66;83,95
"Apto";"Mace Windu";180,66;84,21
"Apto";"Mace Windu";180,03;83,07
"Apto";"Shaak Ti";180,07;83,73
"Apto";"Yoda";181,18;83,87
"Apto";"Aayla Secura";180,96;83,86
"Apto";"Obi-Wan Kenobi";181,07;83,45
"Apto";"Obi-Wan Kenobi";180,13;84,2
"Apto";"Aayla Secura";180,83;84,26
"Defeituoso";"Shaak Ti";180,27;83,21
"Defeituoso";"Yoda";180,55;83,36
"Apto";"Shaak Ti";180,68;83,67
"Apto";"Shaak Ti";180,72;83,7
"Apto";"Yoda";181,12;83,6
"Apto";"Yoda";180;83,62
"Apto";"Mace Windu";180,44;84,43
"Apto";"Mace Windu";180,4;83,83
"Apto";"Yoda";180,72;83,66
"Apto";"Mace Windu";180,51;83,81
"Apto";"Yoda";180,28;83,71
"Apto";"Aayla Secura";180,08;84,18
"Apto";"Obi-Wan Kenobi";180,14;84,49
"Apto";"Yoda";180,55;83,48
"Apto";"Mace Windu";180,25;83,74
"Apto";"Shaak Ti";180,68;83,88
"Apto";"Shaak Ti";181,18;83,13
"Apto";"Obi-Wan Kenobi";180,82;84,22
"Apto";"Yoda";180,92;83,77
"Apto";"Mace Windu";181,13;84,22
"Apto";"Aayla Secura";180,93;83,71
"Apto";"Shaak Ti";180,28;83,96
"Apto";"Shaak Ti";181,08;84,25
"Apto";"Shaak Ti";181,16;83,69
"Apto";"Aayla Secura";180,29;83,78
"Apto";"Aayla Secura";180,27;84,16
"Apto";"Yoda";180,03;84,26
"Apto";"Mace Windu";181,06;84,06
"Apto";"Aayla Secura";180,1;83,63
"Apto";"Yoda";180,07;83,36
"Apto";"Mace Windu";180,42;83,18
"Apto";"Yoda";180,67;84,01
"Apto";"Yoda";180,85;83,87
"Apto";"Obi-Wan Kenobi";180,76;83,77
"Apto";"Shaak Ti";180,88;83,17
"Apto";"Obi-Wan Kenobi";180,18;84,43
"Apto";"Obi-Wan Kenobi";180,1;84,19
"Apto";"Obi-Wan Kenobi";180,75;84,06
"Apto";"Shaak Ti";180,57;83,66
"Apto";"Mace Windu";180,32;84,21
"Apto";"Aayla Secura";180,39;84,17
"Apto";"Aayla Secura";180,77;84,21
"Apto";"Obi-Wan Kenobi";181,17;84,28
"Apto";"Shaak Ti";180,47;83,85
"Apto";"Shaak Ti";180,12;83,59
"Apto";"Aayla Secura";180,96;83,18
"Defeituoso";"Yoda";180,5;83,02
"Apto";"Aayla Secura";181,01;83,1
"Apto";"Yoda";180,55;83,97
"Apto";"Aayla Secura";180,53;84,27
"Apto";"Obi-Wan Kenobi";180,59;84,04
"Apto";"Aayla Secura";181,13;84,23
"Apto";"Obi-Wan Kenobi";180,3;84,16
"Apto";"Yoda";180,84;83,85
"Apto";"Aayla Secura";180,61;83,64
"Apto";"Obi-Wan Kenobi";181,09;84,11
"Apto";"Yoda";180,97;83,72
"Apto";"Obi-Wan Kenobi";180,04;83,91
"Apto";"Obi-Wan Kenobi";180,55;83,04
"Apto";"Mace Windu";180,61;83,96
"Apto";"Obi-Wan Kenobi";180,33;83,22
"Apto";"Mace Windu";180,25;84,32
"Apto";"Aayla Secura";180,88;84,48
"Apto";"Mace Windu";180,36;84,17
"Apto";"Aayla Secura";180,92;83,92
"Apto";"Yoda";180,81;84,48
"Apto";"Shaak Ti";180,51;83,52
"Apto";"Mace Windu";180,21;84,48
"Apto";"Shaak Ti";181,11;84,47
"Apto";"Aayla Secura";180,77;83,02
"Apto";"Aayla Secura";181,1;84,33
"Apto";"Obi-Wan Kenobi";180,06;84,2
"Apto";"Shaak Ti";180,32;84,23
"Apto";"Obi-Wan Kenobi";180,83;83,05
"Apto";"Aayla Secura";180,19;84,36
"Apto";"Yoda";180,42;84,15
"Apto";"Yoda";180,77;83,02
"Apto";"Mace Windu";180,95;84,09
"Apto";"Yoda";180,53;83,83
"Apto";"Obi-Wan Kenobi";180,89;83,5
"Defeituoso";"Yoda";180,52;83,36
"Apto";"Mace Windu";180,48;83,51
"Apto";"Aayla Secura";181,17;83,38
"Apto";"Shaak Ti";180,33;83,51
"Defeituoso";"Yoda";180,28;83,39
"Apto";"Aayla Secura";181,15;83,87
"Apto";"Shaak Ti";180,21;83,42
"Defeituoso";"Shaak Ti";180,36;83,3
"Apto";"Obi-Wan Kenobi";180,99;83,71
"Apto";"Shaak Ti";180,65;83,91
"Apto";"Yoda";180,79;83,37
"Apto";"Obi-Wan Kenobi";180,39;84,02
"Apto";"Shaak Ti";180,58;83,82
"Apto";"Mace Windu";180,51;83,41
"Apto";"Obi-Wan Kenobi";180,55;83,87
"Apto";"Mace Windu";180,2;83,5
"Apto";"Mace Windu";180,42;84,1
"Apto";"Mace Windu";180,23;83,56
"Apto";"Yoda";181,18;83,26
"Apto";"Aayla Secura";180,94;83,86
"Apto";"Shaak Ti";180,52;83,83
"Defeituoso";"Shaak Ti";180,5;83,01
"Apto";"Yoda";180,92;83,09
"Apto";"Mace Windu";180,43;84,23
"Apto";"Obi-Wan Kenobi";180,72;83,27
"Apto";"Obi-Wan Kenobi";180,36;83,06
"Apto";"Obi-Wan Kenobi";180,71;83,49
"Apto";"Aayla Secura";180,43;84,3
"Apto";"Shaak Ti";180,66;83,05
"Apto";"Aayla Secura";180,83;83,52
"Defeituoso";"Yoda";180,43;83,19
"Apto";"Yoda";180,36;84,4
"Apto";"Obi-Wan Kenobi";180,63;84,14
"Apto";"Yoda";180,77;83,1
"Apto";"Obi-Wan Kenobi";181,06;83,11
"Apto";"Mace Windu";180,36;83,98
"Apto";"Mace Windu";180,09;83,5
"Apto";"Obi-Wan Kenobi";180,01;83,49
"Apto";"Yoda";180,31;83,8
"Apto";"Aayla Secura";181,09;83,55
"Apto";"Mace Windu";180,69;83,23
"Apto";"Shaak Ti";181,19;83,55
"Apto";"Obi-Wan Kenobi";180,68;83,54
"Apto";"Aayla Secura";180,56;83,13
"Apto";"Obi-Wan Kenobi";180,23;83,15
"Apto";"Obi-Wan Kenobi";180,92;83,52
"Apto";"Obi-Wan Kenobi";180,89;83,75
"Apto";"Obi-Wan Kenobi";180,78;84,07
"Apto";"Shaak Ti";180,76;83,29
"Apto";"Obi-Wan Kenobi";180,33;84,36
"Apto";"Shaak Ti";180,04;84,49
"Apto";"Obi-Wan Kenobi";180,78;83,59
"Apto";"Yoda";180,11;84,11
"Defeituoso";"Yoda";180,47;83,23
"Apto";"Obi-Wan Kenobi";180,25;84,33
"Apto";"Yoda";181,17;83,61
"Defeituoso";"Yoda";180,33;83,1
"Apto";"Mace Windu";180,7;84,22
"Apto";"Shaak Ti";181,11;83,61
"Apto";"Mace Windu";180,01;83,78
"Apto";"Shaak Ti";181,14;83,37
"Apto";"Aayla Secura";180,07;84,09
"Apto";"Aayla Secura";180,82;83,04
"Apto";"Yoda";180,65;83,93
"Apto";"Obi-Wan Kenobi";180,04;83,19
"Apto";"Obi-Wan Kenobi";181,03;84,04
"Apto";"Obi-Wan Kenobi";180,36;84,34
"Apto";"Obi-Wan Kenobi";181,1;84,16
"Apto";"Yoda";180,34;83,47
"Apto";"Shaak Ti";180,43;83,42
"Apto";"Mace Windu";180,88;84,13
"Defeituoso";"Yoda";180,41;83,29
"Apto";"Mace Windu";180,02;83,78
"Apto";"Yoda";180,03;83,57
"Apto";"Obi-Wan Kenobi";180,85;83,23
"Apto";"Yoda";180,3;83,57
"Apto";"Shaak Ti";180,86;84,5
"Apto";"Aayla Secura";180,61;83,33
"Defeituoso";"Shaak Ti";180,3;83,38
"Apto";"Yoda";180,16;83,49
"Apto";"Mace Windu";180,68;83,63
"Apto";"Shaak Ti";180,95;83,99
"Apto";"Mace Windu";180,4;83,05
"Apto";"Mace Windu";180,66;83,4
"Apto";"Shaak Ti";180,88;84,33
"Apto";"Shaak Ti";180,01;84,15
"Apto";"Yoda";180,73;84,07
"Apto";"Shaak Ti";180,64;83,41
"Apto";"Yoda";180,69;83,73
"Defeituoso";"Shaak Ti";180,42;83,11
"Apto";"Aayla Secura";180,93;84,06
"Apto";"Mace Windu";181,1;83,31
"Apto";"Mace Windu";180,73;84,3
"Apto";"Obi-Wan Kenobi";180,05;83,26
"Apto";"Shaak Ti";181,1;83,65
"Apto";"Shaak Ti";180,71;83,46
"Defeituoso";"Shaak Ti";180,26;83,34
"Apto";"Aayla Secura";180,12;83,2
"Apto";"Yoda";180,25;84,12
"Apto";"Yoda";181,19;83,55
"Apto";"Yoda";180,55;84,48
"Apto";"Yoda";180,22;83,97
"Apto";"Shaak Ti";180,04;83,23
"Apto";"Obi-Wan Kenobi";180,16;84,26
"Apto";"Yoda";181,01;83,57
"Apto";"Obi-Wan Kenobi";181,03;84,04
"Apto";"Obi-Wan Kenobi";180,19;83,74
"Apto";"Aayla Secura";180,71;84,39
"Apto";"Aayla Secura";180,9;83,5
"Apto";"Aayla Secura";180,73;83,32
"Apto";"Obi-Wan Kenobi";180,43;83,97
"Apto";"Mace Windu";180,87;83,22
"Apto";"Obi-Wan Kenobi";181,11;84,5
"Apto";"Aayla Secura";180,72;83,31
"Apto";"Mace Windu";180,22;83,65
"Apto";"Shaak Ti";180,65;84,15
"Apto";"Obi-Wan Kenobi";180,53;83,15
"Defeituoso";"Shaak Ti";180,48;83,35
"Apto";"Shaak Ti";181,14;83,49
"Apto";"Shaak Ti";180,72;83,64
"Apto";"Mace Windu";180,19;84,48
"Apto";"Obi-Wan Kenobi";180,59;84,4
"Apto";"Shaak Ti";180,05;83,21
"Apto";"Mace Windu";180,59;84,08
"Apto";"Mace Windu";180,45;83,54
"Apto";"Yoda";181,07;83,26
"Apto";"Shaak Ti";180,83;83,12
"Apto";"Shaak Ti";180,59;83,99
"Apto";"Obi-Wan Kenobi";180,8;83,01
"Apto";"Aayla Secura";180,52;83,44
"Apto";"Shaak Ti";181,16;83,14
"Apto";"Aayla Secura";181,2;83,74
"Defeituoso";"Shaak Ti";180,44;83,29
"Apto";"Yoda";180,83;84,26
"Apto";"Mace Windu";180,18;84,22
"Apto";"Shaak Ti";180,45;83,89
"Apto";"Yoda";180,21;84,29
"Apto";"Shaak Ti";180,43;83,44
"Apto";"Obi-Wan Kenobi";180,48;83,49
"Defeituoso";"Shaak Ti";180,25;83,14
"Apto";"Obi-Wan Kenobi";181,11;83,26
"Apto";"Yoda";180,57;84,41
"Apto";"Shaak Ti";180,08;83,67
"Apto";"Aayla Secura";180,37;83,08
"Apto";"Shaak Ti";180,33;84,35
"Defeituoso";"Shaak Ti";180,27;83,08
"Apto";"Shaak Ti";180,75;83,41
"Defeituoso";"Yoda";180,34;83,13
"Apto";"Shaak Ti";181,15;83,84
"Defeituoso";"Yoda";180,5;83,1
"Apto";"Aayla Secura";180,86;83,58
"Apto";"Shaak Ti";180,86;83,64
"Apto";"Yoda";180,73;83,58
"Apto";"Mace Windu";180,23;83,35
"Apto";"Yoda";180,44;83,71
"Apto";"Obi-Wan Kenobi";180,09;84,36
"Apto";"Yoda";180,9;83,02
"Defeituoso";"Shaak Ti";180,42;83,12
"Apto";"Shaak Ti";180,96;84,37
"Apto";"Obi-Wan Kenobi";180,45;84,47
"Apto";"Mace Windu";180,96;84,49
"Apto";"Yoda";180,73;83,15
"Defeituoso";"Shaak Ti";180,25;83,23
"Apto";"Mace Windu";180,26;84,25
"Apto";"Yoda";180,96;84,48
"Apto";"Mace Windu";180,22;83,14
"Apto";"Aayla Secura";180,32;84,14
"Apto";"Mace Windu";180,5;83,14
"Apto";"Aayla Secura";180,86;84,05
"Apto";"Yoda";181,13;84,45
"Apto";"Yoda";181,03;83,57
"Apto";"Mace Windu";180,93;83,33
"Apto";"Aayla Secura";180,47;83,26
"Apto";"Aayla Secura";180,53;84,2
"Apto";"Mace Windu";180,81;84,24
"Apto";"Obi-Wan Kenobi";180,31;83,41
"Apto";"Mace Windu";180,23;83,67
"Apto";"Shaak Ti";180,2;84,37
"Apto";"Shaak Ti";180,63;83,64
"Apto";"Mace Windu";180,67;83,78
"Apto";"Yoda";180,05;83,14
"Apto";"Aayla Secura";180,81;83,91
"Apto";"Aayla Secura";180,4;84,42
"Apto";"Yoda";180,15;84,28
"Apto";"Yoda";180,33;84,22
"Apto";"Aayla Secura";180,19;83,79
"Apto";"Shaak Ti";181,15;84,21
"Apto";"Yoda";180,86;83,11
"Apto";"Mace Windu";180,05;83,47
"Apto";"Mace Windu";181,01;83,46
"Apto";"Aayla Secura";180,15;83,11
"Apto";"Yoda";181,03;83,09
"Apto";"Yoda";180,06;83,04
"Defeituoso";"Shaak Ti";180,48;83,36
"Apto";"Shaak Ti";180,84;83,04
"Apto";"Shaak Ti";180,52;83,67
"Apto";"Mace Windu";180,3;84,43
"Defeituoso";"Yoda";180,28;83,09
"Defeituoso";"Shaak Ti";180,38;83,12
"Defeituoso";"Yoda";180,29;83,11
"Apto";"Aayla Secura";180,55;83,26
"Apto";"Aayla Secura";180,3;83,1
"Apto";"Aayla Secura";181,04;83,99
"Defeituoso";"Shaak Ti";180,29;83,22
"Apto";"Mace Windu";180,7;84,04
"Apto";"Yoda";180,21;83,11
"Apto";"Shaak Ti";180,05;84,3
"Defeituoso";"Yoda";180,52;83,07
"Apto";"Obi-Wan Kenobi";180,77;84,49
"Apto";"Shaak Ti";180,96;83,83
"Apto";"Yoda";180,64;83,67
"Apto";"Yoda";180,06;83,54
"Apto";"Aayla Secura";181,06;83,13
"Apto";"Mace Windu";181,13;83,35
"Apto";"Mace Windu";180,5;83,59
"Defeituoso";"Yoda";180,39;83,19
"Defeituoso";"Shaak Ti";180,47;83,11
"Apto";"Shaak Ti";181,13;83,7
"Apto";"Obi-Wan Kenobi";180,45;84,12
"Apto";"Mace Windu";180,18;83,84
"Apto";"Yoda";180,54;84,03
"Apto";"Mace Windu";180,98;83,13
"Apto";"Mace Windu";180,35;84,02
"Apto";"Yoda";180,58;83,29
"Apto";"Obi-Wan Kenobi";180,48;84,37
"Apto";"Aayla Secura";180,38;83,01
"Defeituoso";"Yoda";180,36;83,17
"Defeituoso";"Yoda";180,53;83,28
"Apto";"Mace Windu";180,96;83,96
"Apto";"Shaak Ti";180,03;83,36
"Apto";"Aayla Secura";180,65;83,99
"Apto";"Shaak Ti";180,8;83,36
"Defeituoso";"Shaak Ti";180,32;83,18
"Apto";"Aayla Secura";180,66;84,35
"Apto";"Aayla Secura";180,74;83,3
"Apto";"Shaak Ti";181,09;83,94
"Apto";"Mace Windu";180,54;83,38
"Defeituoso";"Yoda";180,29;83,09
"Apto";"Yoda";180,27;83,48
"Apto";"Aayla Secura";180,79;83,56
"Apto";"Obi-Wan Kenobi";180,27;83,47
"Apto";"Aayla Secura";180,72;84,24
"Apto";"Obi-Wan Kenobi";181,15;83,79
"Apto";"Mace Windu";180,19;83,06
"Apto";"Obi-Wan Kenobi";180,67;83,54
"Apto";"Obi-Wan Kenobi";181,19;83,75
"Apto";"Shaak Ti";180,52;83,84
"Apto";"Mace Windu";180,09;83,77
"Apto";"Obi-Wan Kenobi";180,39;83,06
"Apto";"Yoda";181,13;84,24
"Apto";"Obi-Wan Kenobi";180,35;83,28
"Apto";"Aayla Secura";180,41;84,42
"Apto";"Obi-Wan Kenobi";180,44;84,48
"Apto";"Shaak Ti";180,49;84,38
"Apto";"Mace Windu";181,02;84,28
"Apto";"Aayla Secura";180,84;83,79
"Apto";"Obi-Wan Kenobi";181,18;83,74
"Apto";"Shaak Ti";180;83,32
"Apto";"Mace Windu";180,17;84,42
"Apto";"Shaak Ti";180,42;83,65
"Apto";"Shaak Ti";180,66;83,94
"Apto";"Mace Windu";180,66;83,51
"Apto";"Obi-Wan Kenobi";180,41;83,95
"Apto";"Obi-Wan Kenobi";181,1;83,25
"Apto";"Mace Windu";180,84;83,84
"Defeituoso";"Shaak Ti";180,48;83,39
"Apto";"Mace Windu";180,95;83,32
"Apto";"Obi-Wan Kenobi";180,76;83,75
"Apto";"Mace Windu";180,93;83,76
"Apto";"Mace Windu";180,64;83,2
"Apto";"Mace Windu";180,91;83,15
"Apto";"Shaak Ti";180,88;83,22
"Apto";"Shaak Ti";180,13;84,34
"Apto";"Obi-Wan Kenobi";180,98;84,06
"Apto";"Mace Windu";181,18;83,38
"Apto";"Aayla Secura";180,02;84,01
"Apto";"Shaak Ti";180,85;84,29
"Apto";"Mace Windu";180,96;83,95
"Apto";"Obi-Wan Kenobi";181,09;84,31
"Defeituoso";"Shaak Ti";180,45;83,29
"Defeituoso";"Yoda";180,31;83,13
"Apto";"Shaak Ti";181,11;83,48
"Apto";"Obi-Wan Kenobi";180,44;84,38
"Apto";"Yoda";180,78;83,13
"Apto";"Yoda";181,17;83,52
"Apto";"Mace Windu";180,18;83,79
"Apto";"Mace Windu";181,14;83,49
"Apto";"Mace Windu";180,9;83,25
"Apto";"Mace Windu";180,52;83,32
"Apto";"Obi-Wan Kenobi";180,87;83,87
"Apto";"Shaak Ti";181,17;83,94
"Apto";"Obi-Wan Kenobi";180,11;83,95
"Apto";"Shaak Ti";180,38;83,6
"Apto";"Mace Windu";180,89;84,41
"Apto";"Aayla Secura";180,87;84,02
"Apto";"Obi-Wan Kenobi";181,07;84,27
"Apto";"Yoda";180,52;83,65
"Apto";"Shaak Ti";181,1;83,32
"Apto";"Shaak Ti";180,83;84,48
"Apto";"Shaak Ti";180,59;83,88
"Apto";"Yoda";180,63;83,41
"Apto";"Aayla Secura";181,19;84,15
"Apto";"Obi-Wan Kenobi";180,69;83,37
"Apto";"Aayla Secura";180,55;84,26
"Apto";"Obi-Wan Kenobi";181,13;83,4
"Defeituoso";"Shaak Ti";180,33;83,18
"Apto";"Shaak Ti";180,14;84,38
"Defeituoso";"Yoda";180,35;83,39
"Apto";"Shaak Ti";180,73;83,35
"Apto";"Aayla Secura";180,79;83,2
"Apto";"Aayla Secura";180,2;83,23
"Apto";"Shaak Ti";181,14;84,08
"Apto";"Obi-Wan Kenobi";180,59;84,3
"Apto";"Yoda";180,69;83,66
"Defeituoso";"Yoda";180,26;83,34
"Defeituoso";"Yoda";180,33;83,03
"Apto";"Aayla Secura";181,1;84,06
"Apto";"Mace Windu";180,83;83,8
"Defeituoso";"Yoda";180,4;83,24
"Apto";"Shaak Ti";181,15;83,83
"Apto";"Mace Windu";180,18;83,09
"Apto";"Obi-Wan Kenobi";180,3;83,77
"Apto";"Yoda";180,81;83,8
"Apto";"Mace Windu";180,65;84,4
"Apto";"Yoda";180,82;84,1
"Apto";"Shaak Ti";181,18;84,32
"Apto";"Aayla Secura";181,14;83,77
"Apto";"Mace Windu";180,14;83,89
"Apto";"Shaak Ti";180,89;84,13
"Apto";"Mace Windu";180,77;84,32
"Apto";"Shaak Ti";180,25;84,23
"Defeituoso";"Shaak Ti";180,42;83,38
"Apto";"Mace Windu";180,66;83,89
"Apto";"Shaak Ti";180,78;83,2
"Apto";"Aayla Secura";180,64;84,5
"Apto";"Obi-Wan Kenobi";180,96;84,31
"Apto";"Aayla Secura";180,24;83,8
"Apto";"Aayla Secura";180,88;84,09
"Apto";"Mace Windu";180,8;83,63
"Apto";"Obi-Wan Kenobi";181,03;83,49
"Defeituoso";"Shaak Ti";180,46;83,32
"Apto";"Obi-Wan Kenobi";180,42;83,2
"Apto";"Mace Windu";181,14;84
"Apto";"Shaak Ti";180,56;83,26
"Apto";"Mace Windu";181,07;83,79
"Apto";"Aayla Secura";181,14;84,25
"Apto";"Yoda";181;83,1
"Apto";"Shaak Ti";180,03;83,14
"Apto";"Yoda";180,99;83,71
"Apto";"Mace Windu";180,26;83,33
"Apto";"Aayla Secura";181,19;83,17
"Apto";"Aayla Secura";180,05;83,16
"Apto";"Shaak Ti";181,09;84,42
"Apto";"Aayla Secura";180,4;83,99
"Apto";"Obi-Wan Kenobi";181,17;83,04
"Apto";"Aayla Secura";180,97;83,27
"Apto";"Shaak Ti";180,71;83,33
"Apto";"Obi-Wan Kenobi";180,43;83,72
"Apto";"Yoda";180,27;84,43
"Apto";"Yoda";180,91;83,79
"Apto";"Obi-Wan Kenobi";180,3;83,45
"Apto";"Mace Windu";181,1;84,42
"Apto";"Mace Windu";180,63;83,15
"Apto";"Aayla Secura";181,19;83,61
"Apto";"Obi-Wan Kenobi";180,14;83,66
"Apto";"Obi-Wan Kenobi";181,1;84,28
"Defeituoso";"Shaak Ti";180,31;83,05
"Apto";"Obi-Wan Kenobi";180,18;83,34
"Apto";"Mace Windu";180,03;84,28
"Apto";"Shaak Ti";180,1;84,44
"Apto";"Shaak Ti";180,07;83,63
"Defeituoso";"Shaak Ti";180,54;83,08
"Apto";"Obi-Wan Kenobi";180,71;83,81
"Apto";"Mace Windu";180,78;83,77
"Apto";"Shaak Ti";180,46;83,56
"Apto";"Mace Windu";180,61;84,32
"Defeituoso";"Shaak Ti";180,27;83,31
"Apto";"Obi-Wan Kenobi";180,88;83,18
"Apto";"Aayla Secura";180,4;84,45
"Apto";"Obi-Wan Kenobi";180,71;83,93
"Apto";"Mace Windu";181,08;83,01
"Apto";"Aayla Secura";180,86;83
"Apto";"Obi-Wan Kenobi";180,94;83,49
"Apto";"Shaak Ti";181,02;83,78
"Apto";"Yoda";180,41;84,3
"Apto";"Yoda";180,29;83,47
"Apto";"Shaak Ti";181,13;83,28
"Apto";"Yoda";181,07;83,14
"Apto";"Obi-Wan Kenobi";180,81;83,46
"Apto";"Obi-Wan Kenobi";180,62;84,1
"Apto";"Yoda";180,9;84,44
"Apto";"Mace Windu";180,18;83,83
"Apto";"Obi-Wan Kenobi";180,91;83,22
"Apto";"Yoda";180,87;84,22
"Apto";"Shaak Ti";180,7;83,01
"Apto";"Aayla Secura";180,16;84,4
"Apto";"Mace Windu";180,95;83,21
"Defeituoso";"Shaak Ti";180,27;83,33
"Apto";"Obi-Wan Kenobi";180,52;83,25
"Apto";"Obi-Wan Kenobi";180,52;83,06
"Apto";"Mace Windu";180,5;84,2
"Apto";"Shaak Ti";180,95;83,01
"Apto";"Obi-Wan Kenobi";180,26;83,46
"Apto";"Aayla Secura";180,6;84,29
"Apto";"Mace Windu";180,43;83,34
"Apto";"Mace Windu";180,34;83,13
"Apto";"Aayla Secura";180,96;84,4
"Apto";"Obi-Wan Kenobi";180,38;83,24
"Apto";"Aayla Secura";180,01;84,09
"Apto";"Obi-Wan Kenobi";180,34;83,91
"Apto";"Obi-Wan Kenobi";181;84,16
"Defeituoso";"Shaak Ti";180,41;83,33
"Apto";"Mace Windu";181,02;83,3
"Apto";"Obi-Wan Kenobi";180,7;83,54
"Apto";"Shaak Ti";180,57;83,54
"Apto";"Mace Windu";180,63;83,56
"Defeituoso";"Yoda";180,3;83,21
"Defeituoso";"Shaak Ti";180,26;83,33
"Apto";"Aayla Secura";180,01;83,73
"Defeituoso";"Shaak Ti";180,32;83,36
"Apto";"Shaak Ti";180,1;83,35
"Apto";"Yoda";180,91;83,67
"Apto";"Shaak Ti";180,08;83,22
"Apto";"Aayla Secura";180,72;84,07
"Apto";"Mace Windu";180,98;84,43
"Apto";"Aayla Secura";180,34;84,04
"Apto";"Mace Windu";180,84;83,65
"Apto";"Yoda";180,94;83,59
"Apto";"Obi-Wan Kenobi";180,14;84,49
"Apto";"Aayla Secura";180,04;84,43
"Apto";"Obi-Wan Kenobi";180,57;83,31
"Apto";"Mace Windu";180,36;84,42
"Apto";"Shaak Ti";180,73;84,13
"Apto";"Aayla Secura";181,06;83,94
"Apto";"Aayla Secura";180,35;83,02
"Apto";"Mace Windu";181,04;84,45
"Apto";"Aayla Secura";181,04;83,34
"Apto";"Obi-Wan Kenobi";180,7;83,72
"Apto";"Shaak Ti";180,97;84,28
"Defeituoso";"Shaak Ti";180,4;83
"Apto";"Shaak Ti";180,61;83,11
"Apto";"Yoda";180,48;84,42
"Apto";"Mace Windu";180,08;83,95
"Apto";"Mace Windu";180,04;83,06
"Apto";"Obi-Wan Kenobi";181,18;83,28
"Apto";"Yoda";181,1;84,04
"Apto";"Obi-Wan Kenobi";181,08;84,22
"Apto";"Yoda";180,15;84,18
"Apto";"Shaak Ti";180,16;83,8
"Apto";"Aayla Secura";180,97;84,43
"Apto";"Yoda";181,01;84,24
"Apto";"Obi-Wan Kenobi";180,37;84,19
"Apto";"Mace Windu";181,05;83,89
"Apto";"Aayla Secura";180,42;83,57
"Apto";"Yoda";181,2;84,25
"Apto";"Obi-Wan Kenobi";180,45;84,38
"Apto";"Obi-Wan Kenobi";180,74;83,36
"Apto";"Aayla Secura";180,48;83
"Apto";"Shaak Ti";181;84,14
"Apto";"Aayla Secura";180,77;84,44
"Apto";"Aayla Secura";180,34;84,08
"Apto";"Aayla Secura";181,16;83,11
"Apto";"Mace Windu";181;83,78
"Apto";"Yoda";180,43;83,47
"Apto";"Obi-Wan Kenobi";180,63;84,16
"Defeituoso";"Shaak Ti";180,54;83,22
"Apto";"Yoda";180,62;83,24
"Apto";"Aayla Secura";180,62;83,85
"Apto";"Mace Windu";180,78;83,26
"Defeituoso";"Yoda";180,41;83,21
"Apto";"Mace Windu";180,8;83,28
"Apto";"Shaak Ti";180,24;83,68
"Apto";"Mace Windu";180,74;84,32
"Apto";"Obi-Wan Kenobi";180,21;83,42
"Apto";"Obi-Wan Kenobi";180,17;83,2
"Apto";"Obi-Wan Kenobi";180,43;83,12
"Apto";"Yoda";180,54;83,68
"Apto";"Shaak Ti";180,06;84,18
"Apto";"Yoda";181,19;84,01
"Apto";"Obi-Wan Kenobi";180,23;84,14
"Apto";"Aayla Secura";180,94;83,63
"Apto";"Obi-Wan Kenobi";180,99;83,76
"Apto";"Shaak Ti";180,14;83,63
"Apto";"Mace Windu";180,42;84,03
"Apto";"Yoda";180,22;84,14
"Apto";"Yoda";181,07;83,92
"Defeituoso";"Shaak Ti";180,41;83,07
"Apto";"Shaak Ti";180,28;84,22
"Apto";"Aayla Secura";181,09;83,36
"Apto";"Shaak Ti";180,75;83,82
"Apto";"Aayla Secura";181,17;83,1
"Apto";"Obi-Wan Kenobi";180,84;83,29
"Defeituoso";"Yoda";180,29;83,19
"Apto";"Mace Windu";180,37;84,16
"Apto";"Aayla Secura";180,96;83,12
"Apto";"Yoda";180,04;83,93
"Defeituoso";"Yoda";180,32;83,05
"Apto";"Aayla Secura";180,02;83,93
"Apto";"Shaak Ti";180,08;84,17
"Apto";"Obi-Wan Kenobi";180,32;83,41
"Apto";"Obi-Wan Kenobi";180,06;83,56
"Apto";"Mace Windu";180,19;83,49
"Apto";"Shaak Ti";180,19;84,26
"Apto";"Yoda";180,64;83,66
"Defeituoso";"Shaak Ti";180,54;83,08
"Apto";"Yoda";180,55;83,01
"Apto";"Shaak Ti";180,38;83,95
"Apto";"Yoda";180,19;84,22
"Apto";"Mace Windu";180,72;83,63
"Apto";"Aayla Secura";180,25;83,84
"Apto";"Mace Windu";180,2;83,7
"Apto";"Aayla Secura";180,17;83,2
"Apto";"Shaak Ti";180,36;84,08
"Apto";"Shaak Ti";180,23;83,88
"Apto";"Shaak Ti";180,14;83,74
"Defeituoso";"Shaak Ti";180,39;83,2
"Apto";"Aayla Secura";180,14;83,51
"Apto";"Mace Windu";180,62;83,93
"Defeituoso";"Shaak Ti";180,28;83,08
"Apto";"Obi-Wan Kenobi";180,66;83,55
"Apto";"Aayla Secura";180,29;83,66
"Apto";"Shaak Ti";180,12;83,73
"Apto";"Obi-Wan Kenobi";180,54;84,37
"Apto";"Obi-Wan Kenobi";180,45;83,78
"Apto";"Obi-Wan Kenobi";180,94;83,61
"Apto";"Aayla Secura";181,13;83,05
"Apto";"Obi-Wan Kenobi";181,2;83,04
"Apto";"Shaak Ti";180,19;83,2
"Apto";"Shaak Ti";181,05;83,81
